full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Simon Mignolet,30,Premier League,2013/2014,Goalkeeper,Liverpool,3420,1710,1710,Belgium,38,19,19,0,0,0,0,0,0,0,0,10,6,4,49,17,32,0,0,0,0,0,0,0,0,1.29,70,90,0,0,0,315,312,78,14
Kolo Habib Touré,37,Premier League,2013/2014,Defender,Liverpool,1438,692,746,Côte d'Ivoire,20,7,8,0,0,0,1,1,0,0,0,4,3,1,20,6,14,2,0,0.06,0.06,0,0,0,0,1.25,72,72,719,1438,0.13,426,199,72,16
Glen Johnson,34,Premier League,2013/2014,Defender,Liverpool,2522,1275,1247,England,29,15,14,0,0,0,2,1,1,0,0,9,5,4,37,13,24,3,0,0.07,0.07,0,0,0,0,1.32,68,87,841,1261,0.11,346,178,86,19
Daniel Munthe Agger,33,Premier League,2013/2014,Defender,Liverpool,1419,870,549,Denmark,20,10,6,2,2,0,1,1,0,0,0,8,5,3,16,8,8,0,0,0.19,0.06,0.13,0.21,0,710,1.01,89,71,0,1419,0,140,200,31,8
José Enrique de la Sánchez Diaz,32,Premier League,2013/2014,Defender,Liverpool,602,332,270,Spain,8,3,3,0,0,0,2,1,1,0,0,4,3,1,4,1,3,0,0,0.3,0.3,0,0,0,0,0.6,151,75,0,301,0,347,23,2,18
Steven Gerrard,38,Premier League,2013/2014,Midfielder,Liverpool,2898,1462,1436,England,34,17,16,13,4,9,13,9,4,10,1,9,6,3,43,15,28,7,0,0.81,0.4,0.4,0.25,0.56,223,1.34,67,85,414,223,0.22,34,7,-1,3
Lucas Leiva,31,Premier League,2013/2014,Midfielder,Liverpool,1870,772,1098,Brazil,27,8,12,0,0,0,0,0,0,0,0,8,5,3,27,5,22,6,0,0,0,0,0,0,0,1.3,69,69,312,0,0.29,348,344,-1,17
Jordan Henderson,28,Premier League,2013/2014,Midfielder,Liverpool,3130,1600,1530,England,35,18,17,4,3,1,6,5,1,0,0,10,6,4,42,15,27,5,1,0.29,0.17,0.12,0.17,0.06,783,1.21,75,89,522,522,0.17,148,82,-1,7
Philippe Coutinho,26,Premier League,2013/2014,Midfielder,Liverpool,2336,1285,1051,Brazil,33,15,13,5,2,3,7,4,3,0,0,10,6,4,36,13,23,1,0,0.46,0.27,0.19,0.14,0.26,467,1.39,65,71,2336,334,0.04,101,35,-1,6
Daniel Sturridge,29,Premier League,2013/2014,Forward,Liverpool,2276,1175,1101,England,29,14,12,21,12,9,7,1,6,0,1,8,5,3,30,12,18,2,0,1.11,0.28,0.83,0.92,0.74,108,1.19,76,78,1138,325,0.08,3,31,-1,2
Iago Aspas,31,Premier League,2013/2014,Forward,Liverpool,378,256,122,Spain,14,4,1,0,0,0,1,1,0,0,0,6,3,3,1,0,1,3,0,0.24,0.24,0,0,0,0,0.24,378,27,126,378,0.71,349,40,-1,20
Raheem Sterling,23,Premier League,2013/2014,Midfielder,Liverpool,2217,1203,1014,England,33,13,11,9,5,4,5,2,3,0,0,8,5,3,30,15,15,3,0,0.57,0.2,0.37,0.37,0.36,246,1.22,74,67,739,443,0.12,36,59,-1,4
Joe Allen,28,Premier League,2013/2014,Midfielder,Liverpool,1440,667,773,Wales,24,6,9,1,0,1,0,0,0,0,0,6,2,4,20,7,13,4,0,0.06,0,0.06,0,0.12,1440,1.25,72,60,360,0,0.25,217,345,-1,12
