Players,Clubs,Position,Total,Goals,A,Yellow,Yellow - Red,Red,Start,Sub,CO,Off,Pen S,Pen SV,Pen M,Pen C,OG,More
Aleksandar Mitrovic,Fulham,Forward,18,7,2,4,0,0,18,0,0,2,0,0,0,0,0,More
Gylfi Sigurdsson,Everton,Midfielder,18,7,2,2,0,0,18,0,0,10,1,0,2,0,0,More
Felipe Anderson,West Ham United,Midfielder,18,6,2,3,0,0,18,0,0,7,0,0,0,0,0,More
Roberto Pereyra,Watford,Midfielder,18,5,1,1,0,0,18,0,0,6,0,0,0,0,0,More
Luka Milivojevic,Crystal Palace,Midfielder,18,5,0,4,0,0,18,0,0,0,4,0,1,0,0,More
Matt Doherty,Wolverhampton Wanderers,Defender,18,3,3,2,0,0,18,0,0,2,0,0,0,0,1,More
Andros Townsend,Crystal Palace,Midfielder,18,3,2,1,0,0,18,0,0,6,0,0,0,0,0,More
Abdoulaye Doucoure,Watford,Midfielder,18,2,5,2,0,0,18,0,0,0,0,0,0,0,1,More
James McArthur,Crystal Palace,Midfielder,18,2,2,4,0,0,18,0,0,9,0,0,0,0,0,More
N'Golo Kante,Chelsea,Midfielder,18,2,2,3,0,0,18,0,0,1,0,0,0,0,0,More
Marcos Alonso,Chelsea,Midfielder,18,1,3,3,0,0,18,0,0,1,0,0,0,0,0,More
Nathan Redmond,Southampton,Midfielder,18,1,2,0,0,0,18,0,0,3,0,0,0,0,0,More
Virgil van Dijk,Liverpool,Defender,18,1,1,1,0,0,18,0,0,1,0,0,0,0,0,More
Patrick van Aanholt,Crystal Palace,Defender,18,1,1,3,0,0,18,0,0,2,0,0,0,0,0,More
Nathan Ake,AFC Bournemouth,Defender,18,1,0,2,0,0,18,0,0,0,0,0,0,0,0,More
Craig Cathcart,Watford,Defender,18,1,0,1,0,0,18,0,0,2,0,0,0,0,1,More
Christopher Schindler,Huddersfield Town,Defender,18,1,0,2,0,0,18,0,0,1,0,0,0,0,0,More
Antonio Rudiger,Chelsea,Defender,18,1,0,3,0,0,18,0,0,1,0,0,0,0,0,More
Willy Boly,Wolverhampton Wanderers,Defender,18,1,0,0,0,0,18,0,0,0,0,0,0,0,0,More
Steve Cook,AFC Bournemouth,Defender,18,1,0,2,0,0,18,0,0,0,0,0,0,0,1,More
