Rank,Crest,Team,Matches,Win,Draw,Loss,GF,GA,GD,Pts,Last 5,PPG,CS,BTTS,FTS,YC / RC,Corners / Match,1.5+Over 1.5 (1.5+),2.5+Over 2.5 (2.5+),AVG
1,"",New York Red Bulls,38,21,6,11,65,45,+20,69,WChicago FireMLS1 - 2FT( HT : 0 - 2 )New York RBWDC UnitedMLS0 - 1FT( HT : 0 - 0 )New York RBWNew York RBMLS1 - 0FT( HT : 0 - 0 )DC UnitedLColumbus CrewMLS2 - 0FT( HT : 1 - 0 )New York RBWNew York RBMLS1 - 0FT( HT : 0 - 0 )Columbus Crew,1.82,32%,63%,8%,"","",87%,58%,2.89
2,"",Portland Timbers,40,18,11,11,52,45,+7,65,DPortland TimbersMLS0 - 0FT( HT : 0 - 0 )Vancouver WhitecapsWVancouver WhitecapsMLS0 - 2FT( HT : 0 - 1 )Portland TimbersWPortland TimbersMLS3 - 1FT( HT : 1 - 0 )DallasDDallasMLS2 - 2FT( HT : 0 - 0 )Portland TimbersWColumbus CrewMLS1 - 2FT( HT : 1 - 2 )Portland Timbers,1.63,38%,45%,33%,"","",63%,48%,2.43
3,"",FC Dallas,38,19,7,12,58,47,+11,64,WDallasMLS2 - 1FT( HT : 1 - 1 )SJ EarthquakesLSeattle SoundersMLS2 - 1FT( HT : 0 - 1 )DallasWDallasMLS2 - 1FT( HT : 0 - 0 )Seattle SoundersLPortland TimbersMLS3 - 1FT( HT : 1 - 0 )DallasDDallasMLS2 - 2FT( HT : 0 - 0 )Portland Timbers,1.68,34%,53%,24%,"","",82%,61%,2.76
4,"",Columbus Crew,39,17,8,14,65,59,+6,59,LMontreal ImpactMLS2 - 1FT( HT : 1 - 1 )Columbus CrewWColumbus CrewMLS3 - 1FT( HT : 1 - 1 )Montreal ImpactWColumbus CrewMLS2 - 0FT( HT : 1 - 0 )New York RBLNew York RBMLS1 - 0FT( HT : 0 - 0 )Columbus CrewLColumbus CrewMLS1 - 2FT( HT : 1 - 2 )Portland Timbers,1.51,18%,64%,21%,"","",90%,74%,3.18
5,"",Seattle Sounders FC,37,17,6,14,50,41,+9,57,DHouston DynamoMLS1 - 1FT( HT : 0 - 0 )Seattle SoundersWSeattle SoundersMLS3 - 1FT( HT : 3 - 0 )Real Salt LakeWSeattle SoundersMLS3 - 2FT( HT : 2 - 2 )LA GalaxyWSeattle SoundersMLS2 - 1FT( HT : 0 - 1 )DallasLDallasMLS2 - 1FT( HT : 0 - 0 )Seattle Sounders,1.54,30%,46%,30%,"","",68%,49%,2.46
6,"",Montreal Impact,37,17,6,14,54,48,+6,57,WNew EnglandMLS0 - 1FT( HT : 0 - 0 )Montreal ImpactWMontreal ImpactMLS2 - 1FT( HT : 0 - 1 )TorontoWMontreal ImpactMLS3 - 0FT( HT : 3 - 0 )TorontoWMontreal ImpactMLS2 - 1FT( HT : 1 - 1 )Columbus CrewLColumbus CrewMLS3 - 1FT( HT : 1 - 1 )Montreal Impact,1.54,27%,59%,19%,"","",78%,68%,2.76
7,"",Vancouver Whitecaps FC,36,16,6,14,45,38,+7,54,DVancouver WhitecapsMLS0 - 0FT( HT : 0 - 0 )DallasLDallasMLS2 - 0FT( HT : 1 - 0 )Vancouver WhitecapsWVancouver WhitecapsMLS3 - 0FT( HT : 0 - 0 )Houston DynamoDPortland TimbersMLS0 - 0FT( HT : 0 - 0 )Vancouver WhitecapsLVancouver WhitecapsMLS0 - 2FT( HT : 0 - 1 )Portland Timbers,1.50,39%,39%,31%,"","",69%,47%,2.31
8,"",DC United,37,16,6,15,45,48,-3,54,WDC UnitedMLS4 - 0FT( HT : 1 - 0 )Chicago FireLColumbus CrewMLS5 - 0FT( HT : 1 - 0 )DC UnitedWDC UnitedMLS2 - 1FT( HT : 1 - 1 )New EnglandLDC UnitedMLS0 - 1FT( HT : 0 - 0 )New York RBLNew York RBMLS1 - 0FT( HT : 0 - 0 )DC United,1.46,22%,49%,32%,"","",68%,46%,2.51
9,"",Sporting Kansas City,35,14,10,11,50,47,+3,52,WPortland TimbersMLS0 - 1FT( HT : 0 - 0 )Sporting KCLSJ EarthquakesMLS1 - 0FT( HT : 0 - 0 )Sporting KCLSporting KCMLS0 - 2FT( HT : 0 - 0 )Colorado RapidsWSporting KCMLS2 - 1FT( HT : 1 - 1 )LA GalaxyDPortland TimbersMLS2 - 2FT( HT : 0 - 0 )Sporting KC,1.49,31%,57%,23%,"","",69%,51%,2.77
10,"",LA Galaxy,35,14,9,12,58,49,+9,51,WLA GalaxyMLS3 - 2FT( HT : 2 - 1 )DallasDSeattle SoundersMLS1 - 1FT( HT : 0 - 1 )LA GalaxyLLA GalaxyMLS2 - 5FT( HT : 1 - 0 )Portland TimbersLSporting KCMLS2 - 1FT( HT : 1 - 1 )LA GalaxyLSeattle SoundersMLS3 - 2FT( HT : 2 - 2 )LA Galaxy,1.46,23%,57%,26%,"","",77%,57%,3.06
11,"",New England Revolution,35,14,8,13,49,49,0,50,DNew EnglandMLS1 - 1FT( HT : 1 - 0 )Philadelphia UnionLChicago FireMLS3 - 1FT( HT : 0 - 1 )New EnglandLNew EnglandMLS0 - 1FT( HT : 0 - 0 )Montreal ImpactWNew York CityMLS1 - 3FT( HT : 0 - 2 )New EnglandLDC UnitedMLS2 - 1FT( HT : 1 - 1 )New England,1.43,26%,57%,23%,"","",86%,63%,2.80
12,"",Toronto FC,35,15,4,16,58,61,-3,49,WTorontoMLS3 - 1FT( HT : 1 - 0 )Philadelphia UnionWTorontoMLS2 - 1FT( HT : 0 - 0 )New York RBLTorontoMLS0 - 2FT( HT : 0 - 1 )Columbus CrewLMontreal ImpactMLS2 - 1FT( HT : 0 - 1 )TorontoLMontreal ImpactMLS3 - 0FT( HT : 3 - 0 )Toronto,1.40,14%,66%,23%,"","",91%,74%,3.40
13,"",San Jose Earthquakes,34,13,8,13,41,39,+2,47,LNew York CityMLS3 - 2FT( HT : 0 - 0 )SJ EarthquakesWSJ EarthquakesMLS1 - 0FT( HT : 0 - 0 )Real Salt LakeDSJ EarthquakesMLS1 - 1FT( HT : 0 - 1 )Vancouver WhitecapsWSJ EarthquakesMLS1 - 0FT( HT : 0 - 0 )Sporting KCLDallasMLS2 - 1FT( HT : 1 - 1 )SJ Earthquakes,1.38,35%,50%,21%,"","",68%,35%,2.35
14,"",Orlando City SC,34,12,8,14,46,56,-10,44,WChicago FireMLS0 - 1FT( HT : 0 - 0 )Orlando CityWNew York RBMLS2 - 5FT( HT : 1 - 2 )Orlando CityWOrlando CityMLS2 - 1FT( HT : 1 - 1 )Montreal ImpactWOrlando CityMLS2 - 1FT( HT : 0 - 1 )New York CityLPhiladelphia UnionMLS1 - 0FT( HT : 1 - 0 )Orlando City,1.29,21%,47%,35%,"","",79%,50%,3.00
15,"",Houston Dynamo,34,11,9,14,42,49,-7,42,WHouston DynamoMLS1 - 0FT( HT : 0 - 0 )Sporting KCWHouston DynamoMLS3 - 2FT( HT : 2 - 2 )Colorado RapidsLDallasMLS4 - 1FT( HT : 1 - 1 )Houston DynamoDHouston DynamoMLS1 - 1FT( HT : 0 - 0 )Seattle SoundersLVancouver WhitecapsMLS3 - 0FT( HT : 0 - 0 )Houston Dynamo,1.24,21%,50%,32%,"","",79%,41%,2.68
16,"",Real Salt Lake,34,11,8,15,38,48,-10,41,LSJ EarthquakesMLS1 - 0FT( HT : 0 - 0 )Real Salt LakeWColorado RapidsMLS1 - 2FT( HT : 1 - 2 )Real Salt LakeLReal Salt LakeMLS0 - 1FT( HT : 0 - 0 )Portland TimbersLReal Salt LakeMLS0 - 1FT( HT : 0 - 0 )DallasLSeattle SoundersMLS3 - 1FT( HT : 3 - 0 )Real Salt Lake,1.21,26%,44%,41%,"","",65%,47%,2.53
17,"",New York City FC,34,10,7,17,49,58,-9,37,WNew York CityMLS3 - 2FT( HT : 0 - 0 )SJ EarthquakesWVancouver WhitecapsMLS1 - 2FT( HT : 0 - 1 )New York CityLDC UnitedMLS2 - 1FT( HT : 0 - 1 )New York CityLOrlando CityMLS2 - 1FT( HT : 0 - 1 )New York CityLNew York CityMLS1 - 3FT( HT : 0 - 2 )New England,1.09,12%,71%,21%,"","",85%,62%,3.15
18,"",Colorado Rapids,34,9,10,15,33,43,-10,37,LHouston DynamoMLS3 - 2FT( HT : 2 - 2 )Colorado RapidsLColorado RapidsMLS1 - 2FT( HT : 1 - 2 )Real Salt LakeLColorado RapidsMLS0 - 1FT( HT : 0 - 1 )Montreal ImpactWSporting KCMLS0 - 2FT( HT : 0 - 0 )Colorado RapidsLPortland TimbersMLS4 - 1FT( HT : 2 - 1 )Colorado Rapids,1.09,26%,53%,32%,"","",71%,38%,2.24
19,"",Philadelphia Union,34,10,7,17,42,55,-13,37,WPhiladelphia UnionMLS2 - 0FT( HT : 1 - 0 )Houston DynamoDNew EnglandMLS1 - 1FT( HT : 1 - 0 )Philadelphia UnionLTorontoMLS3 - 1FT( HT : 1 - 0 )Philadelphia UnionLNew York RBMLS4 - 1FT( HT : 4 - 0 )Philadelphia UnionWPhiladelphia UnionMLS1 - 0FT( HT : 1 - 0 )Orlando City,1.09,29%,56%,21%,"","",74%,59%,2.85
20,"",Chicago Fire,34,8,6,20,43,58,-15,30,LMontreal ImpactMLS2 - 1FT( HT : 1 - 0 )Chicago FireLTorontoMLS3 - 2FT( HT : 1 - 1 )Chicago FireWChicago FireMLS3 - 1FT( HT : 0 - 1 )New EnglandLDC UnitedMLS4 - 0FT( HT : 1 - 0 )Chicago FireLChicago FireMLS1 - 2FT( HT : 0 - 2 )New York RB,0.88,15%,56%,29%,"","",71%,56%,2.97
