full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Sergio Germán Romero,31,Premier League,2015/2016,Goalkeeper,Manchester United,360,180,180,Argentina,4,2,2,0,0,0,0,0,0,0,0,3,2,1,2,0,2,0,0,0,0,0,0,0,0,0.5,180,90,0,0,0,311,432,2,15
Matteo Darmian,28,Premier League,2015/2016,Defender,Manchester United,1931,901,1030,Italy,28,10,14,1,1,0,0,0,0,0,0,16,10,6,16,2,14,8,0,0.05,0,0.05,0.1,0,1931,0.75,121,69,241,0,0.37,223,427,12,14
Daley Blind,28,Premier League,2015/2016,Defender,Manchester United,3117,1587,1530,Netherlands,35,18,17,1,1,0,1,0,1,0,0,15,11,4,32,8,24,2,0,0.06,0.03,0.03,0.06,0,3117,0.92,97,89,1559,3117,0.06,242,238,37,8
Chris Smalling,29,Premier League,2015/2016,Defender,Manchester United,3150,1530,1620,England,35,17,18,0,0,0,1,0,1,0,0,17,11,6,28,6,22,8,0,0.03,0.03,0,0,0,0,0.8,113,90,394,3150,0.23,344,237,19,25
Luke Shaw,23,Premier League,2015/2016,Defender,Manchester United,450,270,180,England,5,3,2,0,0,0,1,0,1,0,0,3,2,1,3,1,2,1,0,0.2,0.2,0,0,0,0,0.6,150,90,450,450,0.2,345,67,7,24
Michael Carrick,37,Premier League,2015/2016,Midfielder,Manchester United,1973,875,1098,England,28,10,12,0,0,0,0,0,0,0,0,11,7,4,22,5,17,4,0,0,0,0,0,0,0,1,90,70,493,0,0.18,346,310,-1,23
Ashley Young,33,Premier League,2015/2016,Midfielder,Manchester United,1061,473,588,England,18,5,6,1,1,0,2,2,0,0,0,7,4,3,16,4,12,5,0,0.25,0.17,0.08,0.19,0,1061,1.36,66,59,212,531,0.42,189,83,-1,11
Juan Mata,30,Premier League,2015/2016,Midfielder,Manchester United,2900,1523,1377,Spain,38,17,17,6,3,3,5,2,3,1,0,18,12,6,25,6,19,6,1,0.34,0.16,0.19,0.18,0.2,483,0.78,116,76,483,580,0.19,99,86,-1,3
Morgan Schneiderlin,29,Premier League,2015/2016,Midfielder,Manchester United,2205,1142,1063,France,29,13,12,1,0,1,0,0,0,0,0,16,10,6,19,5,14,3,0,0.04,0,0.04,0,0.08,2205,0.78,116,76,735,0,0.12,226,307,-1,12
Wayne Rooney,33,Premier League,2015/2016,Forward,Manchester United,2409,1217,1192,England,28,14,13,8,4,4,6,3,3,1,0,14,9,5,20,5,15,4,0,0.52,0.22,0.3,0.3,0.3,301,0.75,120,86,602,402,0.15,59,44,-1,2
Memphis Depay,24,Premier League,2015/2016,Forward,Manchester United,1477,727,750,Netherlands,29,8,8,2,1,1,0,0,0,0,0,12,9,3,18,4,14,2,0,0.12,0,0.12,0.12,0.12,739,1.1,82,51,739,0,0.12,140,303,-1,7
Bastian Schweinsteiger,34,Premier League,2015/2016,Midfielder,Manchester United,1202,619,583,Germany,18,7,6,1,0,1,0,0,0,0,0,11,7,4,10,2,8,3,0,0.07,0,0.07,0,0.15,1202,0.75,120,67,401,0,0.22,204,301,-1,13
Ander Herrera,29,Premier League,2015/2016,Midfielder,Manchester United,1533,766,767,Spain,27,7,10,3,2,1,2,0,2,1,0,13,8,5,14,5,9,4,0,0.29,0.12,0.18,0.23,0.12,511,0.82,110,57,383,767,0.23,107,122,-1,6
Antonio Valencia,33,Premier League,2015/2016,Defender,Manchester United,853,561,292,Ecuador,14,6,2,0,0,0,3,3,0,0,0,9,7,2,5,1,4,1,0,0.32,0.32,0,0,0,0,0.53,171,61,853,284,0.11,347,20,5,19
Paddy McNair,23,Premier League,2015/2016,Midfielder,Manchester United,311,89,222,Northern Ireland,8,1,2,0,0,0,0,0,0,0,0,2,2,0,6,1,5,0,0,0,0,0,0,0,0,1.74,52,39,0,0,0,348,297,-1,22
Michel Vorm,35,Premier League,2015/2016,Goalkeeper,Tottenham Hotspur,90,0,90,Netherlands,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,20
Jan Vertonghen,31,Premier League,2015/2016,Defender,Tottenham Hotspur,2595,1350,1245,Belgium,29,15,14,0,0,0,0,0,0,0,0,9,6,3,28,11,17,5,0,0,0,0,0,0,0,0.97,93,89,519,0,0.17,349,294,43,17
