full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
David de Gea,28,Premier League,2014/2015,Goalkeeper,Manchester United,3314,1694,1620,Spain,37,19,18,0,0,0,0,0,0,0,0,10,6,4,35,14,21,0,0,0,0,0,0,0,0,0.95,95,90,0,0,0,431,431,33,18
Chris Smalling,29,Premier League,2014/2015,Defender,Manchester United,1878,985,893,England,25,10,11,4,4,0,0,0,0,0,0,6,3,3,22,10,12,3,1,0.19,0,0.19,0.37,0,470,1.05,85,75,626,0,0.14,90,376,46,7
Phil Jones,26,Premier League,2014/2015,Defender,Manchester United,1879,799,1080,England,22,10,12,0,0,0,0,0,0,0,0,6,2,4,18,8,10,3,0,0,0,0,0,0,0,0.86,104,85,626,0,0.14,308,301,21,26
Tyler Blackett,24,Premier League,2014/2015,Defender,Manchester United,649,242,407,England,11,2,4,0,0,0,0,0,0,0,0,2,1,1,9,4,5,4,1,0,0,0,0,0,0,1.25,72,59,130,0,0.69,303,300,97,25
Ashley Young,33,Premier League,2014/2015,Midfielder,Manchester United,2068,970,1098,England,26,11,12,2,1,1,5,3,2,0,0,8,4,4,18,8,10,5,0,0.3,0.22,0.09,0.09,0.08,1034,0.78,115,80,414,414,0.22,158,41,-1,11
Darren Fletcher,34,Premier League,2014/2015,Midfielder,Manchester United,1714,793,921,Scotland,26,8,11,1,1,0,0,0,0,0,0,11,7,4,21,8,13,3,0,0.05,0,0.05,0.11,0,1714,1.1,82,66,571,0,0.16,208,296,-1,12
Juan Mata,30,Premier League,2014/2015,Midfielder,Manchester United,2309,1236,1073,Spain,33,14,13,9,5,4,4,4,0,1,0,11,6,5,25,12,13,2,0,0.51,0.16,0.35,0.36,0.34,257,0.97,92,70,1155,577,0.08,42,70,-1,3
Ander Herrera,29,Premier League,2014/2015,Midfielder,Manchester United,1868,1032,836,Spain,26,10,9,6,4,2,4,3,1,0,0,8,5,3,23,9,14,6,0,0.48,0.19,0.29,0.35,0.22,311,1.11,81,72,311,467,0.29,55,55,-1,5
Jesse Lingard,25,Premier League,2014/2015,Midfielder,Manchester United,24,24,0,England,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,-1,-1,-1,24
Wayne Rooney,33,Premier League,2014/2015,Forward,Manchester United,2877,1303,1574,England,33,15,18,12,11,1,5,3,2,1,1,11,6,5,29,11,18,6,1,0.53,0.16,0.38,0.76,0.06,240,0.91,99,87,411,575,0.22,34,71,-1,1
Javier Hernandez,30,Premier League,2014/2015,Forward,Manchester United,46,46,0,Mexico,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.96,46,46,0,0,0,-1,-1,-1,23
Adnan Januzaj,23,Premier League,2014/2015,Midfielder,Manchester United,848,451,397,Belgium,18,4,3,0,0,0,0,0,0,0,0,6,3,3,10,5,5,0,0,0,0,0,0,0,0,1.06,85,47,0,0,0,298,291,-1,22
