Players,Clubs,Position,Total,Goals,A,Yellow,Yellow - Red,Red,Start,Sub,CO,Off,Pen S,Pen SV,Pen M,Pen C,OG,More
Jonathan Walters,Stoke City,Forward,38,7,5,3,0,0,38,0,0,5,4,0,2,0,0,More
Stephen Ward,Wolverhampton Wanderers,Defender,38,3,0,2,0,0,38,0,0,0,0,0,0,0,0,More
Tim Howard,Everton,Goalkeeper,38,1,0,1,0,0,38,0,0,0,0,2,1,1,0,More
Brad Friedel,Tottenham Hotspur,Goalkeeper,38,0,0,0,0,0,38,0,0,0,0,0,0,1,0,More
Wojciech Szczesny,Arsenal,Goalkeeper,38,0,0,2,0,0,38,0,0,0,0,1,0,3,0,More
Ali Al Habsi,Wigan Athletic,Goalkeeper,38,0,0,1,0,0,38,0,0,0,0,4,0,4,0,More
Tim Krul,Newcastle United,Goalkeeper,38,0,0,4,0,0,38,0,0,0,0,2,0,7,0,More
Joe Hart,Manchester City,Goalkeeper,38,0,0,0,0,0,38,0,0,0,0,1,0,2,0,More
Brede Hangeland,Fulham,Defender,38,0,0,7,0,0,38,0,0,0,0,0,0,0,0,More
Robin van Persie,Arsenal,Forward,38,30,13,8,0,0,37,1,1,3,2,0,1,0,0,More
Maynor Figueroa,Wigan Athletic,Defender,38,0,0,6,0,0,37,1,1,2,0,0,0,0,0,More
Victor Moses,Wigan Athletic,Midfielder,38,6,3,4,0,0,36,2,2,6,0,0,0,0,0,More
Scott Sinclair,Swansea City,Forward,38,8,5,1,0,0,35,3,3,5,4,0,1,0,0,More
Clint Dempsey,Fulham,Forward,37,17,6,2,0,0,37,0,0,3,0,0,1,0,0,More
Nigel Reo-Coker,Bolton Wanderers,Midfielder,37,3,1,7,0,0,37,0,0,6,0,0,0,0,0,More
Jonas Gutierrez,Newcastle United,Midfielder,37,2,3,5,1,0,37,0,0,2,0,0,0,0,0,More
Kyle Walker,Tottenham Hotspur,Defender,37,2,1,4,0,0,37,1,0,3,0,0,0,0,0,More
Ashley Williams,Swansea City,Defender,37,1,0,6,0,0,37,0,0,0,0,0,0,0,0,More
Patrice Evra,Manchester United,Defender,37,0,3,6,0,0,37,0,0,3,0,0,0,0,0,More
Michel Vorm,Swansea City,Goalkeeper,37,0,0,2,0,0,37,0,0,0,0,2,0,1,0,More
John Ruddy,Norwich City,Goalkeeper,37,0,0,1,0,1,37,0,0,0,0,1,0,5,0,More
Ben Foster,West Bromwich Albion,Goalkeeper,37,0,0,0,0,0,37,0,0,0,0,2,0,7,0,More
Matt Jarvis,Wolverhampton Wanderers,Midfielder,37,8,5,0,0,0,31,6,6,9,0,0,0,0,0,More
Jordan Henderson,Liverpool,Midfielder,37,2,0,3,0,0,31,7,6,10,0,0,0,0,0,More
Gareth Bale,Tottenham Hotspur,Midfielder,36,9,12,3,0,0,36,0,0,1,0,0,0,0,0,More
Stephane Sessegnon,Sunderland,Midfielder,36,7,10,3,0,1,36,0,0,7,0,0,0,0,0,More
Luka Modric,Tottenham Hotspur,Midfielder,36,4,4,2,0,0,36,0,0,2,0,0,0,0,0,More
Gary Caldwell,Wigan Athletic,Defender,36,3,0,9,0,1,36,0,0,0,0,0,0,0,1,More
Ryan Shawcross,Stoke City,Defender,36,2,1,8,0,0,36,0,0,1,0,0,0,0,0,More
John Arne Riise,Fulham,Defender,36,0,4,2,0,0,35,1,1,2,0,0,0,0,0,More
Leon Britton,Swansea City,Midfielder,36,0,1,3,0,0,35,2,1,8,0,0,0,0,0,More
Neil Taylor,Swansea City,Defender,36,0,1,4,0,0,35,1,1,5,0,0,0,0,1,More
David Silva,Manchester City,Midfielder,36,6,17,0,0,0,33,4,3,18,0,0,0,0,0,More
Danny Murphy,Fulham,Midfielder,36,2,6,7,0,0,33,3,3,18,2,0,0,0,0,More
Moussa Dembele,Fulham,Forward,36,2,3,6,0,0,33,3,3,9,0,0,0,0,0,More
Danny Graham,Swansea City,Forward,36,12,3,0,0,0,32,4,4,12,1,0,0,0,1,More
Joe Allen,Swansea City,Midfielder,36,4,2,2,1,0,31,5,5,2,0,0,0,0,0,More
Stewart Downing,Liverpool,Midfielder,36,0,2,1,0,0,28,9,8,11,0,0,1,0,0,More
Grant Holt,Norwich City,Forward,36,15,2,6,1,0,24,13,12,9,2,0,0,0,0,More
Marc Wilson,Stoke City,Defender,35,0,1,8,0,0,35,1,0,5,0,0,0,0,0,More
Fabricio Coloccini,Newcastle United,Defender,35,0,0,2,0,0,35,0,0,2,0,0,0,0,0,More
Danny Simpson,Newcastle United,Defender,35,0,0,7,0,0,35,0,0,3,0,0,0,0,0,More
Stephen Warnock,Aston Villa,Defender,35,2,1,6,0,0,34,3,1,3,0,0,0,0,1,More
Youssuf Mulumbu,West Bromwich Albion,Midfielder,35,1,4,5,0,0,34,2,1,17,0,0,0,0,0,More
 Jose Enrique,Liverpool,Defender,35,0,2,2,0,0,33,3,2,1,0,0,0,0,0,More
Theo Walcott,Arsenal,Forward,35,8,9,1,0,0,32,3,3,19,0,0,0,0,0,More
Mark Davies,Bolton Wanderers,Midfielder,35,4,0,4,0,0,29,8,6,1,0,0,0,0,0,More
Jack Colback,Sunderland,Midfielder,35,1,1,3,0,0,29,7,6,5,0,0,0,0,0,More
Tim Cahill,Everton,Midfielder,35,2,3,5,0,0,27,9,8,15,0,0,0,0,0,More
Andy Carroll,Liverpool,Forward,35,4,3,5,0,0,21,16,14,4,0,0,0,0,0,More
Junior Hoilett,Blackburn Rovers,Forward,34,7,5,5,0,0,34,0,0,5,0,0,1,0,0,More
Yohan Cabaye,Newcastle United,Midfielder,34,4,8,6,0,0,34,0,0,13,0,0,0,0,0,More
Benoit Assou-Ekotto,Tottenham Hotspur,Defender,34,2,5,6,0,0,34,0,0,5,0,0,0,0,0,More
Alex Song,Arsenal,Midfielder,34,1,9,10,0,0,34,0,0,4,0,0,0,0,1,More
Anton Ferdinand,Queens Park Rangers,Defender,34,0,2,2,0,0,34,0,0,1,0,0,0,0,0,More
Pepe Reina,Liverpool,Goalkeeper,34,0,0,0,0,1,34,0,0,0,0,0,0,3,0,More
Wayne Hennessey,Wolverhampton Wanderers,Goalkeeper,34,0,0,1,0,0,34,0,0,1,0,2,0,5,0,More
Petr Cech,Chelsea,Goalkeeper,34,0,0,0,0,0,34,0,0,0,0,0,1,4,0,More
Paul Robinson,Blackburn Rovers,Goalkeeper,34,0,0,0,0,0,34,0,0,0,0,1,0,2,0,More
Martin Skrtel,Liverpool,Defender,34,2,1,3,1,0,33,3,1,1,0,0,0,0,1,More
Wayne Rooney,Manchester United,Forward,34,27,7,1,0,0,32,2,2,6,6,0,2,0,0,More
Demba Ba,Newcastle United,Forward,34,16,4,1,0,0,32,3,2,11,2,0,1,0,0,More
Angel Rangel,Swansea City,Defender,34,0,3,3,0,0,32,2,2,3,0,0,0,0,0,More
Sergio Aguero,Manchester City,Forward,34,23,10,2,0,0,31,4,3,20,3,0,0,0,0,More
Marouane Fellaini,Everton,Midfielder,34,3,5,6,0,0,31,3,3,2,0,0,0,0,0,More
Robert Huth,Stoke City,Defender,34,3,0,5,0,1,31,5,3,1,0,0,0,0,0,More
